Severity,Captions
Dissipation stage: Lesion dissipation ,"['Figure 1. A 50-year-old man with 2019 novel coronavirus (2019-nCoV) infection. (D) Lesion dissipation (Illness Day 20, Hospital Day 12). ']"
"Early stage: Ground glass shadow in multiple lobes and segments of bilateral lungs, and the lesions were adjacent to the pleura ","['Figure 1. A 50-year-old man with 2019 novel coronavirus (2019-nCoV) infection. (A) Ground glass shadow in multiple lobes and segments of bilateral lungs, and the lesions were adjacent to the pleura (Illness Day 8, Hospital Day 0). ']"
"Early stage: Ground glass shadow in multiple lobes and segments of bilateral lungs, and the lesions were adjacent to the pleura ","['Figure 1. A 50-year-old man with 2019 novel coronavirus (2019-nCoV) infection. (A) Ground glass shadow in multiple lobes and segments of bilateral lungs, and the lesions were adjacent to the pleura (Illness Day 8, Hospital Day 0). ']"
Consolidation stage: Ground glass shadow expanding and consolidation in bilateral lung,"['Figure 1. A 50-year-old man with 2019 novel coronavirus (2019-nCoV) infection. (B) Ground glass shadow expanding and consolidation in bilateral lung (Illness Day 11, Hospital Day 3). ']"
Consolidation stage: Ground glass shadow expanding and consolidation in bilateral lung,"['Figure 1. A 50-year-old man with 2019 novel coronavirus (2019-nCoV) infection. (B) Ground glass shadow expanding and consolidation in bilateral lung (Illness Day 11, Hospital Day 3). ']"
Consolidation stage: Ground glass shadow expanding and consolidation in bilateral lung,"['Figure 1. A 50-year-old man with 2019 novel coronavirus (2019-nCoV) infection. (B) Ground glass shadow expanding and consolidation in bilateral lung (Illness Day 11, Hospital Day 3). ']"
Consolidation stage: Ground glass shadow expanding and consolidation in bilateral lung,"['Figure 1. A 50-year-old man with 2019 novel coronavirus (2019-nCoV) infection. (B) Ground glass shadow expanding and consolidation in bilateral lung (Illness Day 11, Hospital Day 3). ']"
Absorption stage: Ground glass shadow absorption and reduced consolidation area ,"['Figure 1. A 50-year-old man with 2019 novel coronavirus (2019-nCoV) infection. (C) Ground glass shadow absorption and reduced consolidation area (Illness Day 15, Hospital Day 7).']"
Absorption stage: Ground glass shadow absorption and reduced consolidation area ,"['Figure 1. A 50-year-old man with 2019 novel coronavirus (2019-nCoV) infection. (C) Ground glass shadow absorption and reduced consolidation area (Illness Day 15, Hospital Day 7).']"
"Although the Ct value was low in BALF, viral RNAs were not detected in all the upper respiratory samples. Multiple ground-glass opacities in bilateral lungs. The PiO2/FiO2 and Murray score were 188 and 2.","['Figure 2. Computed tomography (CT) scan of the cases 02, 07 and 13.']"
"Severe case: viral RNAs were not detected in all the upper respiratory samples but positive in the BALF. Multiple ground-glass opacities in bilateral lungs. The PiO2/FiO2 and Murray score were 306 and 1.5, which indicated a lung injury. ","['Figure 2. Computed tomography (CT) scan of the cases 02, 07 and 13.']"
"Viral RNAs were not detected in in the first three upper respiratory samples. CT scan of the this case also showed typical ground-glass opacity in the lung, suggesting a viral pneumonia. However, no viral RNAs were detected until the fourth upper respiratory samples. ","['Figure 2. Computed tomography (CT) scan of the cases 02, 07 and 13.']"
bilateral ground glass opacities ,"['Figure. Chest Computed tomography (CT) images of patients infected with 2019-nCoV on admission to hospital. A, Chest CT scan obtained on February 2, 2020, from a 39-year-old man, showing bilateral ground glass opacities.']"
bilateral ground glass opacities ,"['Figure. Chest Computed tomography (CT) images of patients infected with 2019-nCoV on admission to hospital. B, Chest CT scan obtained on February 6, 2020, from a 45-year-old man, showing bilateral ground glass opacities.']"
patchy shadows ,"['Figure. Chest Computed tomography (CT) images of patients infected with 2019-nCoV on admission to hospital. C, Chest CT scan taken on January 27, 2020, from a 48-year-old man (discharged after treatment on day 9), showing patchy shadows.']"
patchy shadows ,"['Figure. Chest Computed tomography (CT) images of patients infected with 2019-nCoV on admission to hospital. D, Chest CT scan taken on January 23, 2020, from a 34-year-old man (discharged after treatment on day 11), showing patchy shadows.']"
unilateral or bilateral ground glass opacity，bilateral multiple lobular and subsegmental areas of consolidation,['Figure 2. Chest computed tomographic Images of patients with SARS-CoV-2 and other pathogens. ']
unilateral or bilateral ground glass opacity，bilateral multiple lobular and subsegmental areas of consolidation,['Figure 2. Chest computed tomographic Images of patients with SARS-CoV-2 and other pathogens. ']
unilateral or bilateral ground glass opacity，bilateral multiple lobular and subsegmental areas of consolidation,['Figure 2. Chest computed tomographic Images of patients with SARS-CoV-2 and other pathogens. ']
local ground glass shadow and nodules.,['The Imageology change with the disease progression of a 36 years-old female severe patient infected with 2019-CoV A and B were second day of the course of disease; C and D were day 7; E was day 11 and F was day 15. A. CT showed local ground glass shadow and nodules.']
Thin ground glass shadow mainly distributed in outer zone of the lung and under the pleura.,['The Imageology change with the disease progression of a 36 years-old female severe patient infected with 2019-CoV A and B were second day of the course of disease; C and D were day 7; E was day 11 and F was day 15. B. Thin ground glass shadow Mainly distributed in outer zone of the lung and under the pleura.']
"Ground glass shadow of both lungs, left pulmonary nodule focus located under pleura","['The Imageology change with the disease progression of a 36 years-old female severe patient infected with 2019-CoV A and B were second day of the course of disease; C and D were day 7; E was day 11 and F was day 15. C. Ground glass shadow of both lungs, left pulmonary nodule focus located under pleura.']"
Progress to patchy shadow with uneven density,['The Imageology change with the disease progression of a 36 years-old female severe patient infected with 2019-CoV A and B were second day of the course of disease; C and D were day 7; E was day 11 and F was day 15. D. Progress to patchy shadow with uneven density.']
"Multiple patchy shadows with fuzzy edges, large ground glass shadow and condensation shadow were found in both lower lobe","['The Imageology change with the disease progression of a 36 years-old female severe patient infected with 2019-CoV A and B were second day of the course of disease; C and D were day 7; E was day 11 and F was day 15. E. Multiple patchy shadows with fuzzy edges were observed, and large ground glass shadow and condensation shadow were found in both lower lobe.']"
"Mild pneumonia patient showed patchy ground-glass opacity with clear borderline in a transverse chest CT image. The mild radiographic abnormalities demonstrated as sparse subpleural nodular or patchy ground-glass opacities that principally distributed in lung segments and under pleura, with clear borderline and vascular shadows showing around",['Figure 1. Chest computed tomographic images of patients with coronavirus disease 2019 (A) Mild pneumonia patient showed patchy ground-glass opacity with clear borderline in a transverse chest CT image.']
"Transverse chest CT images of moderate patients showing large ground-glass opacities and some with ambiguous borderline. Moderate abnormalities were characterized with increased number of ground-glass opacities and their expansion to multiple lobes. Nodular ground-glass opacities occurred with consolidation, with ambiguous borderline and blood vessels going through.",['Figure 1. Chest computed tomographic images of patients with coronavirus disease 2019 (B-C) Transverse chest CT images of moderate patients showing large ground-glass opacities and some with ambiguous borderline.']
"Transverse chest CT images of moderate patients showing large ground-glass opacities and some with ambiguous borderline. Moderate abnormalities were characterized with increased number of ground-glass opacities and their expansion to multiple lobes. Nodular ground-glass opacities occurred with consolidation, with ambiguous borderline and blood vessels going through.",['Figure 1. Chest computed tomographic images of patients with coronavirus disease 2019 (B-C) Transverse chest CT images of moderate patients showing large ground-glass opacities and some with ambiguous borderline.']
"Severe cases were characterized by typical white lung change as high-density mass shadows and multiple lobular consolidations were observed. In severe abnormalities, diffuse patchy or grid ground-glass opacities with heterogeneous density presented, partially with clear borderline, in which air bronchogram and vascular shadow can be seen. Both lungs showed white lung change, with thickening of interlobular septum and multiple consolidations in mediastinal window.",['Figure 1. Chest computed tomographic images of patients with coronavirus disease 2019 (D) Severe cases were characterized by typical white lung change as high-density mass shadows and multiple lobular consolidations were observed.']
from mortality group,"['A sample scoring on CT images of a 63-year-old woman from mortality group demonstrated a total score of 63. It was calculated as: for upper zone (A), 3 (consolidation) × 3 (50-75% distribution) × 2 (both right and left lungs) + 2 (ground glass opacity) ×1 (< 25% distribution) × 2 (both right and left lungs); for middle zone. ']"
from mortality group,"['A sample scoring on CT images of a 63-year-old woman from mortality group demonstrated a total score of 63. It was calculated as: for upper zone (B), 3 (consolidation) × 2 (25-50% distribution) × 2 (both right and left lungs) + 2 (ground glass opacity) × 2 (25-50% distribution) × 2 (both right and left lungs) ; for lower zone. ']"
from mortality group,"['A sample scoring on CT images of a 63-year-old woman from mortality group demonstrated a total score of 63. It was calculated as: for upper zone (C), 3 (consolidation) × (2 (25-50% distribution of the right lung) + 3 (50-75% distribution of the left lung))  + 2 (ground glass opacity) × (2 (25-50% distribution of the right lung) + 1 (< 25% distribution of the left lung)). ']"
from survival group: ground glass opacities with predominant peripheral distribution in middle and lower lung zones ,['CT images of a 76-year-old woman from survival group showed pure ground glass opacities with predominant peripheral distribution in middle and lower lung zones (A-C).']
from survival group: ground glass opacities with predominant peripheral distribution in middle and lower lung zones ,['CT images of a 76-year-old woman from survival group showed pure ground glass opacities with predominant peripheral distribution in middle and lower lung zones (A-C).']
from survival group: ground glass opacities with predominant peripheral distribution in middle and lower lung zones ,['CT images of a 76-year-old woman from survival group showed pure ground glass opacities with predominant peripheral distribution in middle and lower lung zones (A-C).']
"from mortality group: Air bronchogram, together with extensive of consolidations and ground glass opacities were found in the CT images ","['Air bronchogram, together with extensive of consolidations and ground glass opacities were found in the CT images of a 72–year-old woman from mortality group (D-F).']"
"from mortality group: Air bronchogram, together with extensive of consolidations and ground glass opacities were found in the CT images ","['Air bronchogram, together with extensive of consolidations and ground glass opacities were found in the CT images of a 72–year-old woman from mortality group (D-F).']"
"from mortality group: Air bronchogram, together with extensive of consolidations and ground glass opacities were found in the CT images ","['Air bronchogram, together with extensive of consolidations and ground glass opacities were found in the CT images of a 72–year-old woman from mortality group (D-F).']"
from survival group: showed ground glass nodular opacities on admission and progressed to multiple patchy ground glass opacities on reexamination. peripherally distributed focal ground glass nodular opacities in only right lung,['Two cases of CT images from survival group showed ground glass nodular opacities on admission and progressed to multiple patchy ground glass opacities on reexamination. The CT images of a 60-year-old woman on admission showed peripherally distributed focal ground glass nodular opacities in only right lung (A) and rechecked CT images showed expanded area of patchy ground glass opacities in both right and left lungs with reticular and interlobular septal thickening on 7 days later (B). ']
from survival group: rechecked CT images showed expanded area of patchy ground glass opacities in both right and left lungs with reticular and interlobular septal thickening on 7 days later,['Two cases of CT images from survival group showed ground glass nodular opacities on admission and progressed to multiple patchy ground glass opacities on reexamination. The CT images of a 60-year-old woman on admission showed peripherally distributed focal ground glass nodular opacities in only right lung (A) and rechecked CT images showed expanded area of patchy ground glass opacities in both right and left lungs with reticular and interlobular septal thickening on 7 days later (B). ']
from survival group: Unilateral ground glass nodular opacity was found on CT images,['Two cases of CT images from survival group showed ground glass nodular opacities on admission and progressed to multiple patchy ground glass opacities on reexamination. Unilateral ground glass nodular opacity was found on CT images of a 64-year-old man from survival group (C) and progressed patchy ground glass opacities as well as interlobular septal thickening were seen after 4 days (D). ']
from survival group: progressed patchy ground glass opacities as well as interlobular septal thickening were seen after 4 days,['Two cases of CT images from survival group showed ground glass nodular opacities on admission and progressed to multiple patchy ground glass opacities on reexamination. Unilateral ground glass nodular opacity was found on CT images of a 64-year-old man from survival group (C) and progressed patchy ground glass opacities as well as interlobular septal thickening were seen after 4 days (D). ']
ground-glass opacities of bilateral lungs near the pleura ,"['Figure 1. Transverse chest CT from a 39 year-old man, showing ground-glass opacities of bilateral lungs near the pleura (a and b) on day 1 from symptom onset, and increased bilateral ground-glass opacities and consolidation(c and d) on day 5  from symptom onset, and slightly absorbed ground-glass opacities (e and f) on day 7 from symptom onset after 7-day treatment.']"
ground-glass opacities of bilateral lungs near the pleura ,"['Figure 1. Transverse chest CT from a 39 year-old man, showing ground-glass opacities of bilateral lungs near the pleura (a and b) on day 1 from symptom onset, and increased bilateral ground-glass opacities and consolidation(c and d) on day 5  from symptom onset, and slightly absorbed ground-glass opacities (e and f) on day 7 from symptom onset after 7-day treatment.']"
increased bilateral ground- glass opacities and consolidation ,"['Figure 1. Transverse chest CT from a 39 year-old man, showing ground-glass opacities of bilateral lungs near the pleura (a and b) on day 1 from symptom onset, and increased bilateral ground-glass opacities and consolidation(c and d) on day 5  from symptom onset, and slightly absorbed ground-glass opacities (e and f) on day 7 from symptom onset after 7-day treatment.']"
increased bilateral ground- glass opacities and consolidation ,"['Figure 1. Transverse chest CT from a 39 year-old man, showing ground-glass opacities of bilateral lungs near the pleura (a and b) on day 1 from symptom onset, and increased bilateral ground-glass opacities and consolidation(c and d) on day 5  from symptom onset, and slightly absorbed ground-glass opacities (e and f) on day 7 from symptom onset after 7-day treatment.']"
slightly absorbed ground-glass opacities ,"['Figure 1. Transverse chest CT from a 39 year-old man, showing ground-glass opacities of bilateral lungs near the pleura (a and b) on day 1 from symptom onset, and increased bilateral ground-glass opacities and consolidation(c and d) on day 5  from symptom onset, and slightly absorbed ground-glass opacities (e and f) on day 7 from symptom onset after 7-day treatment.']"
slightly absorbed ground-glass opacities ,"['Figure 1. Transverse chest CT from a 39 year-old man, showing ground-glass opacities of bilateral lungs near the pleura (a and b) on day 1 from symptom onset, and increased bilateral ground-glass opacities and consolidation(c and d) on day 5  from symptom onset, and slightly absorbed ground-glass opacities (e and f) on day 7 from symptom onset after 7-day treatment.']"
light ,"['Figure 4. Quantification of EAT density by CT scan. CT scan examples of the patients from light (a), mild (b), severe (c) and critical (d) group of COVID-19 patients. Dark red areas represent the EATs, and blue areas indicate other heart tissues. Red arrows indicate lung lesions, and ground-glass opacity features are obviously presented in severe (c) and critical (d) groups (marked with red arrow). Scale bar, 10 cm. ']"
mild,"['Figure 4. Quantification of EAT density by CT scan. CT scan examples of the patients from light (a), mild (b), severe (c) and critical (d) group of COVID-19 patients. Dark red areas represent the EATs, and blue areas indicate other heart tissues. Red arrows indicate lung lesions, and ground-glass opacity features are obviously presented in severe (c) and critical (d) groups (marked with red arrow). Scale bar, 10 cm. ']"
severe,"['Figure 4. Quantification of EAT density by CT scan. CT scan examples of the patients from light (a), mild (b), severe (c) and critical (d) group of COVID-19 patients. Dark red areas represent the EATs, and blue areas indicate other heart tissues. Red arrows indicate lung lesions, and ground-glass opacity features are obviously presented in severe (c) and critical (d) groups (marked with red arrow). Scale bar, 10 cm. ']"
critical ,"['Figure 4. Quantification of EAT density by CT scan. CT scan examples of the patients from light (a), mild (b), severe (c) and critical (d) group of COVID-19 patients. Dark red areas represent the EATs, and blue areas indicate other heart tissues. Red arrows indicate lung lesions, and ground-glass opacity features are obviously presented in severe (c) and critical (d) groups (marked with red arrow). Scale bar, 10 cm. ']"
unilateral or bilateral pneumonia.  multiple “ground-glass” lesions,['Figure 3. Representative images of chest CT scans (the transverse plane). Patients with COVID-19 had unilateral or bilateral pneumonia. The multiple “ground-glass” lesions were the characteristics of COVID-19 pneumonia.The green arrows represent the sites of lesions.']
unilateral or bilateral pneumonia.  multiple “ground-glass” lesions,['Figure 3. Representative images of chest CT scans (the transverse plane). Patients with COVID-19 had unilateral or bilateral pneumonia. The multiple “ground-glass” lesions were the characteristics of COVID-19 pneumonia.The green arrows represent the sites of lesions.']
"451 lesions were mainly ground-glass-like, with thickened blood vessels walking","['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
"451 lesions were mainly ground-glass-like, with thickened blood vessels walking","['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
"451 lesions were mainly ground-glass-like, with thickened blood vessels walking","['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
"451 lesions were mainly ground-glass-like, with thickened blood vessels walking","['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
lesions were mainly ground glass changes,"['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
lesions were mainly ground glass changes,"['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
lesions were mainly ground glass changes,"['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
lesions were mainly ground glass changes,"['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
lesions become solid with a large range,"['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
lesions become solid with a large range,"['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
lesions become solid with a large range,"['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
lesions become solid with a large range,"['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
"lesion is located in the lower lobe of both lungs, and is
455 mainly grid-like change with ground glass lesion","['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
"lesion is located in the lower lobe of both lungs, and is
455 mainly grid-like change with ground glass lesion","['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
lesions are mainly consolidation,"['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
lesions are mainly consolidation,"['Figure 3. Processing and prediction schematic of the model. Raw images were firstly input into the model, and after processing of the model, prediction boxes framing suspicious lesions were output. Valid areas were further extracted and unnecessary fields were filter out to avoid possible false positives. To predict by case, a logic linking the prediction results of consecutive images was added. Computed tomography (CT) images with the above prediction results were divided into four quadrants, and results would be output only when three consecutive images were predicted to have lesions in the same quadrant. ']"
consolidation of the right lower lobe,"['Figure 4. Representative images of the model's predictions. A. Computed tomography (CT) images of COVID19 pneumonia. The predictions between the artificial intelligence model and radiologists were consistent. Green boxes, labels from radiologists; red boxes, labels from the model.']"
"a mass in the left upper lobe, with burrs seen at the edges, and showing leaf-like growth
479 with vacuoles inside","['Figure 4. Representative images of the model's predictions. A. Computed tomography (CT) images of COVID19 pneumonia. The predictions between the artificial intelligence model and radiologists were consistent. Green boxes, labels from radiologists; red boxes, labels from the model.']"
"a left apical
480 fibrous cord","['Figure 4. Representative images of the model's predictions. A. Computed tomography (CT) images of COVID19 pneumonia. The predictions between the artificial intelligence model and radiologists were consistent. Green boxes, labels from radiologists; red boxes, labels from the model.']"
"bronchodilation and expansion, cystic changes, and surrounding patches of infection","['Figure 4. Representative images of the model's predictions. A. Computed tomography (CT) images of COVID19 pneumonia. The predictions between the artificial intelligence model and radiologists were consistent. Green boxes, labels from radiologists; red boxes, labels from the model.']"
,"['Figure 4. Representative images of the model's predictions. A. Computed tomography (CT) images of COVID19 pneumonia. The predictions between the artificial intelligence model and radiologists were consistent. Green boxes, labels from radiologists; red boxes, labels from the model.']"
consolidation of the right lower lobe,"['Figure 4. Representative images of the model's predictions. B. CT images of the control. The first image is an ordinary bacterial pneumonia, showing a consolidation of the right lower lobe. The second image has a tumorous lesion in the lung, showing a mass in the left upper lobe, with burrs seen at the edges, and showing leaf-like growth with vacuoles inside. The third image is a secondary pulmonary tuberculosis, showing a left apical fibrous cord. The fourth image is a bronchiectasis complicated with infection, showing bronchodilation and expansion, cystic changes, and surrounding patches of infection. The fifth image shows normal lungs. ']"
"a mass in the left upper lobe, with burrs seen at the edges, and showing leaf-like growth
479 with vacuoles inside","['Figure 4. Representative images of the model's predictions. B. CT images of the control. The first image is an ordinary bacterial pneumonia, showing a consolidation of the right lower lobe. The second image has a tumorous lesion in the lung, showing a mass in the left upper lobe, with burrs seen at the edges, and showing leaf-like growth with vacuoles inside. The third image is a secondary pulmonary tuberculosis, showing a left apical fibrous cord. The fourth image is a bronchiectasis complicated with infection, showing bronchodilation and expansion, cystic changes, and surrounding patches of infection. The fifth image shows normal lungs. ']"
"a left apical
480 fibrous cord","['Figure 4. Representative images of the model's predictions. B. CT images of the control. The first image is an ordinary bacterial pneumonia, showing a consolidation of the right lower lobe. The second image has a tumorous lesion in the lung, showing a mass in the left upper lobe, with burrs seen at the edges, and showing leaf-like growth with vacuoles inside. The third image is a secondary pulmonary tuberculosis, showing a left apical fibrous cord. The fourth image is a bronchiectasis complicated with infection, showing bronchodilation and expansion, cystic changes, and surrounding patches of infection. The fifth image shows normal lungs. ']"
